user_id,age_bin,gender,act_daytime_profile,act_frequency_profile,most_views_brand,most_views_item_category
u_1,41-45,male,midday_hero,daily_acts,brand_2,household
u_2,26-30,male,keeps_walking,often_acts,brand_1,household
u_3,61-65,male,keeps_walking,often_acts,brand_2,beauty
u_4,46-50,male,midday_hero,rarely_acts,brand_1,food
u_5,31-35,male,keeps_walking,daily_acts,brand_2,household
u_6,41-45,male,midday_hero,rarely_acts,brand_1,clothing
u_7,56-60,female,morning_fun,daily_acts,brand_1,food
u_8,21-25,female,midday_hero,daily_acts,brand_2,clothing
u_9,41-45,female,midday_hero,often_acts,brand_1,electronics
u_10,61-65,other,midday_hero,often_acts,brand_1,food
u_11,61-65,female,keeps_walking,sometimes_acts,brand_1,household
u_12,46-50,other,keeps_walking,often_acts,brand_1,food
u_13,31-35,female,midday_hero,sometimes_acts,brand_4,food
u_14,26-30,male,keeps_walking,sometimes_acts,brand_1,food
u_15,46-50,male,dark_night,sometimes_acts,brand_2,food
u_16,46-50,male,dark_night,sometimes_acts,brand_2,clothing
u_17,21-25,female,keeps_walking,sometimes_acts,brand_3,electronics
u_18,36-40,female,keeps_walking,rarely_acts,brand_1,beauty
u_19,31-35,female,midday_hero,often_acts,brand_1,food
u_20,16-20,male,morning_fun,sometimes_acts,brand_5,household
u_21,46-50,female,keeps_walking,daily_acts,brand_3,food
u_22,>65,male,dark_night,often_acts,brand_4,household
u_23,36-40,other,midday_hero,often_acts,brand_1,clothing
u_24,16-20,female,keeps_walking,sometimes_acts,brand_1,household
u_25,>65,female,dark_night,rarely_acts,brand_1,beauty
u_26,31-35,male,dark_night,sometimes_acts,brand_2,electronics
u_27,>16,male,morning_fun,rarely_acts,brand_1,household
u_28,>65,male,midday_hero,daily_acts,brand_3,household
u_29,56-60,female,midday_hero,often_acts,brand_1,electronics
u_30,36-40,male,morning_fun,daily_acts,brand_5,beauty
u_31,>65,male,morning_fun,rarely_acts,brand_2,food
u_32,51-55,male,midday_hero,rarely_acts,brand_3,household
u_33,>16,female,midday_hero,daily_acts,brand_1,electronics
u_34,61-65,female,keeps_walking,rarely_acts,brand_2,clothing
u_35,61-65,female,keeps_walking,daily_acts,brand_3,electronics
u_36,56-60,female,morning_fun,often_acts,brand_1,clothing
u_37,>65,male,keeps_walking,daily_acts,brand_1,beauty
u_38,>65,female,dark_night,often_acts,brand_5,food
u_39,21-25,female,keeps_walking,daily_acts,brand_3,electronics
u_40,>65,male,keeps_walking,rarely_acts,brand_1,household
u_41,41-45,other,dark_night,daily_acts,brand_1,beauty
u_42,26-30,female,morning_fun,rarely_acts,brand_2,electronics
u_43,51-55,female,dark_night,daily_acts,brand_3,household
u_44,21-25,female,keeps_walking,daily_acts,brand_1,electronics
u_45,31-35,female,morning_fun,sometimes_acts,brand_1,clothing
u_46,21-25,male,keeps_walking,rarely_acts,brand_1,electronics
u_47,41-45,male,dark_night,sometimes_acts,brand_2,electronics
u_48,31-35,female,dark_night,rarely_acts,brand_3,electronics
u_49,51-55,male,keeps_walking,sometimes_acts,brand_1,beauty
u_50,41-45,male,midday_hero,often_acts,brand_4,electronics
u_51,16-20,female,midday_hero,daily_acts,brand_2,household
u_52,26-30,male,dark_night,rarely_acts,brand_1,clothing
u_53,51-55,male,dark_night,rarely_acts,brand_1,clothing
u_54,>65,male,midday_hero,daily_acts,brand_1,electronics
u_55,16-20,other,midday_hero,rarely_acts,brand_4,beauty
u_56,56-60,male,keeps_walking,rarely_acts,brand_2,beauty
u_57,51-55,female,keeps_walking,sometimes_acts,brand_2,household
u_58,56-60,male,midday_hero,rarely_acts,brand_3,electronics
u_59,31-35,male,keeps_walking,often_acts,brand_2,clothing
u_60,16-20,male,keeps_walking,often_acts,brand_3,beauty
u_61,26-30,male,morning_fun,daily_acts,brand_1,electronics
u_62,>65,female,keeps_walking,rarely_acts,brand_2,beauty
u_63,>65,female,dark_night,daily_acts,brand_1,beauty
u_64,41-45,female,keeps_walking,often_acts,brand_1,clothing
u_65,>65,male,keeps_walking,rarely_acts,brand_1,food
u_66,46-50,male,midday_hero,rarely_acts,brand_1,household
u_67,21-25,male,dark_night,daily_acts,brand_1,household
u_68,>16,male,keeps_walking,often_acts,brand_1,clothing
u_69,26-30,female,keeps_walking,rarely_acts,brand_5,beauty
u_70,16-20,male,morning_fun,daily_acts,brand_1,electronics
u_71,46-50,male,keeps_walking,often_acts,brand_1,beauty
u_72,26-30,male,keeps_walking,daily_acts,brand_3,clothing
u_73,16-20,male,morning_fun,sometimes_acts,brand_3,household
u_74,36-40,female,midday_hero,rarely_acts,brand_1,beauty
u_75,36-40,female,keeps_walking,sometimes_acts,brand_2,household
u_76,56-60,male,morning_fun,often_acts,brand_2,electronics
u_77,26-30,other,dark_night,sometimes_acts,brand_1,household
u_78,36-40,male,midday_hero,sometimes_acts,brand_4,household
u_79,16-20,other,dark_night,often_acts,brand_4,food
u_80,56-60,male,dark_night,daily_acts,brand_1,food
u_81,>65,male,morning_fun,sometimes_acts,brand_1,food
u_82,16-20,male,keeps_walking,daily_acts,brand_4,household
u_83,56-60,female,morning_fun,sometimes_acts,brand_2,clothing
u_84,26-30,female,morning_fun,daily_acts,brand_2,household
u_85,46-50,female,morning_fun,often_acts,brand_3,clothing
u_86,41-45,male,morning_fun,sometimes_acts,brand_2,clothing
u_87,>65,female,midday_hero,often_acts,brand_4,food
u_88,51-55,female,keeps_walking,sometimes_acts,brand_4,beauty
u_89,46-50,male,dark_night,often_acts,brand_4,electronics
u_90,31-35,male,dark_night,often_acts,brand_2,food
u_91,16-20,male,keeps_walking,sometimes_acts,brand_3,food
u_92,31-35,female,dark_night,sometimes_acts,brand_3,beauty
u_93,46-50,female,keeps_walking,sometimes_acts,brand_2,electronics
u_94,56-60,other,dark_night,rarely_acts,brand_1,household
u_95,51-55,male,morning_fun,daily_acts,brand_3,household
u_96,>65,female,dark_night,rarely_acts,brand_3,food
u_97,>65,female,keeps_walking,rarely_acts,brand_2,electronics
u_98,>65,male,keeps_walking,often_acts,brand_3,food
u_99,51-55,female,keeps_walking,sometimes_acts,brand_3,clothing
u_100,>16,female,keeps_walking,daily_acts,brand_1,food
